archivo,probabilidad
P1049_S0013,0.772073
P1049_S0014,0.374673
P1049_S0015,0.720937
P1049_S0016,0.393749
P1049_S0017,0.954917
P1049_S0018,0.654812
P1049_S0019,0.979328
P1049_S0020,0.978097
P1049_S0021,0.978158
P1049_S0022,0.988693
P1049_S0023,0.989808
P1049_S0024,0.994691
P1053_S0007,0.995855
P1053_S0008,0.990512
P1053_S0009,0.994747
P1053_S0010,0.984275
P1053_S0011,0.998854
P1053_S0012,0.99522
P1053_S0013,0.993809
P1053_S0014,0.969122
P1053_S0015,0.99105
P1053_S0016,0.98666
P1053_S0017,0.994399
P1053_S0018,0.965155
P1053_S0019,0.998671
P1124_S0009,0.95153
P1124_S0010,0.911887
P1124_S0011,0.963661
P1124_S0012,0.85698
P1124_S0013,0.349453
P1124_S0014,0.236402
P1124_S0015,0.177365
P1124_S0016,0.251249
P1124_S0017,0.319769
P1124_S0018,0.261859
P1124_S0019,0.266265
P1124_S0020,0.292033
P1124_S0021,0.867003
P1124_S0022,0.927457
P1124_S0023,0.969991
P1124_S0024,0.992271
P1124_S0025,0.997183
P1400_S0005,0.990021
P1400_S0006,0.908998
P1400_S0007,0.70809
P1400_S0008,0.804243
P1400_S0009,0.594565
P1400_S0010,0.97013
P1400_S0011,0.832224
P1400_S0012,0.994667
P1400_S0013,0.78776
P1400_S0014,0.90534
P1400_S0015,0.954064
P1400_S0016,0.985271
P1400_S0017,0.693687
P1400_S0018,0.843642
P1400_S0019,0.997584
P1400_S0020,0.999085
P1400_S0021,0.991138
P1425_S0005,0.976664
P1425_S0006,0.98752
P1425_S0007,0.977899
P1425_S0008,0.927579
P1425_S0009,0.70142
P1425_S0010,0.573552
P1425_S0011,0.461131
P1425_S0012,0.385002
P1425_S0013,0.58014
P1425_S0014,0.86044
P1425_S0015,0.438142
P1425_S0016,0.138546
P1425_S0017,0.046789
P1425_S0018,0.185158
P1425_S0019,0.519971
P1425_S0020,0.994013
P1425_S0021,0.997303
P1483_S0004,0.98657
P1483_S0005,0.995669
P1483_S0006,0.733608
P1483_S0007,0.939634
P1483_S0008,0.393591
P1483_S0009,0.373719
P1483_S0010,0.936899
P1483_S0011,0.716633
P1483_S0012,0.636548
P1483_S0013,0.963339
P1483_S0014,0.998228
P1483_S0015,0.999436
P1483_S0016,0.998662
P1483_S0017,0.995312
P1483_S0018,0.965555
P1483_S0019,0.981412
P1483_S0020,0.990694
P1483_S0021,0.997438
P1560_S0005,0.984308
P1560_S0006,0.982548
P1560_S0007,0.948054
P1560_S0008,0.848641
P1560_S0009,0.929231
P1560_S0010,0.571187
P1560_S0011,0.331689
P1560_S0012,0.165775
P1560_S0013,0.380985
P1560_S0014,0.314945
P1560_S0015,0.231677
P1560_S0016,0.178923
P1560_S0017,0.624495
P1560_S0018,0.662559
P1560_S0019,0.803409
P1560_S0020,0.982044
P1560_S0021,0.999294
P1599_S0005,0.991046
P1599_S0006,0.95382
P1599_S0007,0.661983
P1599_S0008,0.618072
P1599_S0009,0.618959
P1599_S0010,0.440735
P1599_S0011,0.290017
P1599_S0012,0.133309
P1599_S0013,0.22275
P1599_S0014,0.145936
P1599_S0015,0.77545
P1599_S0016,0.992781
P1599_S0017,0.036798
P1599_S0018,0.05706
P1599_S0019,0.51831
P1599_S0020,0.942057
P1599_S0021,0.992325
P1599_S0022,0.998373
P1732_S0010,0.988362
P1732_S0011,0.984514
P1732_S0012,0.928118
P1732_S0013,0.949176
P1732_S0014,0.96073
P1732_S0015,0.986117
P1732_S0016,0.96442
P1732_S0017,0.97912
P1732_S0018,0.892409
P1732_S0019,0.850002
P1732_S0020,0.718042
P1732_S0021,0.732002
P1732_S0022,0.645324
P1732_S0023,0.945002
P1732_S0024,0.977173
P1732_S0025,0.994512
P1732_S0026,0.995431
P1732_S0027,0.998213
